hash_digest,identity,extra
a7d8c5d537e1,Stafford2022(mu_branch=Upper),
a005ffbbdf4e,Stafford2022(mu_branch=Central),
86acef508ede,Stafford2022(mu_branch=Lower),
15483133df0d,"Atkinson2022Crust(epistemic=Upper, modified_sigma=true)",
86a3d84b40c7,"Atkinson2022Crust(epistemic=Central, modified_sigma=true)",
552c0b95c7ec,"Atkinson2022Crust(epistemic=Lower, modified_sigma=true)",
f95dddf870ad,AbrahamsonEtAl2014(sigma_mu_epsilon=1.28155),
d820938663c8,AbrahamsonEtAl2014(sigma_mu_epsilon=0.0),
1ff23b30cb65,AbrahamsonEtAl2014(sigma_mu_epsilon=-1.28155),
fc7822fd79df,BooreEtAl2014(sigma_mu_epsilon=1.28155),
865b5e81a93f,BooreEtAl2014(sigma_mu_epsilon=0.0),
14f2b62c821f,BooreEtAl2014(sigma_mu_epsilon=-1.28155),
14318980de89,CampbellBozorgnia2014(sigma_mu_epsilon=1.28155),
68077d1dc2a8,CampbellBozorgnia2014(sigma_mu_epsilon=0.0),
c96291757330,CampbellBozorgnia2014(sigma_mu_epsilon=-1.28155),
b6afcfbf1868,ChiouYoungs2014(sigma_mu_epsilon=1.28155),
67f60ced6e0e,ChiouYoungs2014(sigma_mu_epsilon=0.0),
5526b83bbd05,ChiouYoungs2014(sigma_mu_epsilon=-1.28155),
1da506674d60,Bradley2013(sigma_mu_epsilon=1.28155),
2a8016051f0f,Bradley2013(sigma_mu_epsilon=0.0),
32ea1402eba9,Bradley2013(sigma_mu_epsilon=-1.28155),
e031e948959c,"Atkinson2022SInter(epistemic=Upper, modified_sigma=true)",
380a95154af2,"Atkinson2022SInter(epistemic=Central, modified_sigma=true)",
957eb00fd580,"Atkinson2022SInter(epistemic=Lower, modified_sigma=true)",
772d4ab2272f,"NZNSHM2022_AbrahamsonGulerce2020SInter(region=GLO, sigma_mu_epsilon=1.28155)",
dc0afccd6529,"NZNSHM2022_AbrahamsonGulerce2020SInter(region=GLO, sigma_mu_epsilon=0.0)",
fdfca79f89c2,"NZNSHM2022_AbrahamsonGulerce2020SInter(region=GLO, sigma_mu_epsilon=-1.28155)",
51a8f9b5a337,"NZNSHM2022_ParkerEtAl2020SInter(sigma_mu_epsilon=1.28155, modified_sigma=true)",
3ebe47aa88c6,"NZNSHM2022_ParkerEtAl2020SInter(sigma_mu_epsilon=0.0, modified_sigma=true)",
0d7e94eb6a76,"NZNSHM2022_ParkerEtAl2020SInter(sigma_mu_epsilon=-1.28155, modified_sigma=true)",
042353e277b3,"NZNSHM2022_KuehnEtAl2020SInter(region=GLO, sigma_mu_epsilon=1.28155, modified_sigma=true)",
de88c274d2e3,"NZNSHM2022_KuehnEtAl2020SInter(region=GLO, sigma_mu_epsilon=0.0, modified_sigma=true)",
749ffc6a4478,"NZNSHM2022_KuehnEtAl2020SInter(region=GLO, sigma_mu_epsilon=-1.28155, modified_sigma=true)",
baa866eb8da8,"Atkinson2022SSlab(epistemic=Upper, modified_sigma=true)",
cba1489210d9,"Atkinson2022SSlab(epistemic=Central, modified_sigma=true)",
2b825793a462,"Atkinson2022SSlab(epistemic=Lower, modified_sigma=true)",
7f4bc0e6034e,"NZNSHM2022_AbrahamsonGulerce2020SSlab(region=GLO, sigma_mu_epsilon=1.28155)",
09f08180a5ce,"NZNSHM2022_AbrahamsonGulerce2020SSlab(region=GLO, sigma_mu_epsilon=0.0)",
e7c1701019d2,"NZNSHM2022_AbrahamsonGulerce2020SSlab(region=GLO, sigma_mu_epsilon=-1.28155)",
112a7c62824c,"NZNSHM2022_ParkerEtAl2020SSlab(sigma_mu_epsilon=1.28155, modified_sigma=true)",
95c587badf45,"NZNSHM2022_ParkerEtAl2020SSlab(sigma_mu_epsilon=0.0, modified_sigma=true)",
c077f4dae748,"NZNSHM2022_ParkerEtAl2020SSlab(sigma_mu_epsilon=-1.28155, modified_sigma=true)",
9b5ee9846605,"NZNSHM2022_KuehnEtAl2020SSlab(region=GLO, sigma_mu_epsilon=1.28155, modified_sigma=true)",
20d431313cf7,"NZNSHM2022_KuehnEtAl2020SSlab(region=GLO, sigma_mu_epsilon=0.0, modified_sigma=true)",
2e50d56ce1e5,"NZNSHM2022_KuehnEtAl2020SSlab(region=GLO, sigma_mu_epsilon=-1.28155, modified_sigma=true)",
